name,url,stars,forks,commits,size
react,https://github.com/facebook/react,213961,45074,16006,351240
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,150167,33719,4531,94516
javascript,https://github.com/airbnb/javascript,138460,26263,1964,3619
30-seconds-of-code,https://github.com/30-seconds/30-seconds-of-code,115859,11958,8364,619183
axios,https://github.com/axios/axios,102099,10687,1470,9958
create-react-app,https://github.com/facebook/create-react-app,100882,26758,2802,25222
node,https://github.com/nodejs/node,98488,27339,39866,1114638
three.js,https://github.com/mrdoob/three.js,94891,35061,42185,1278419
clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,86070,11690,546,520
Font-Awesome,https://github.com/FortAwesome/Font-Awesome,72318,12446,14,111971
iptv,https://github.com/iptv-org/iptv,68953,839,27794,370757
json-server,https://github.com/typicode/json-server,68753,6805,875,4008
reveal.js,https://github.com/hakimel/reveal.js,64673,16720,3011,21812
awesome-mac,https://github.com/jaywcjlove/awesome-mac,64004,5976,1945,11583
webpack,https://github.com/webpack/webpack,63585,8893,16337,62088
express,https://github.com/expressjs/express,62044,11489,5779,9098
Chart.js,https://github.com/chartjs/Chart.js,61990,11992,4475,42718
mermaid,https://github.com/mermaid-js/mermaid,61699,5198,8801,224860
github-readme-stats,https://github.com/anuraghazra/github-readme-stats,59856,18891,1099,3427
markdown-here,https://github.com/adam-p/markdown-here,59169,11439,807,16027
33-js-concepts,https://github.com/leonardomso/33-js-concepts,59028,8373,718,1039
jquery,https://github.com/jquery/jquery,57867,20876,6647,32826
lodash,https://github.com/lodash/lodash,57640,7092,8013,48255
strapi,https://github.com/strapi/strapi,56496,7080,32980,457822
html5-boilerplate,https://github.com/h5bp/html5-boilerplate,55303,12432,2501,22600
gatsby,https://github.com/gatsbyjs/gatsby,54752,10572,21553,1129233
leetcode,https://github.com/azl397985856/leetcode,52563,9430,1759,145549
DeepLearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions,51657,15691,1275,207074
moment,https://github.com/moment/moment,47550,7198,3980,20992
anime,https://github.com/juliangarnier/anime,47156,3732,736,49179
prettier,https://github.com/prettier/prettier,46740,4052,8807,111321
serverless,https://github.com/serverless/serverless,45235,5721,15739,97979
algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,44662,7154,667,21541
dayjs,https://github.com/iamkun/dayjs,44304,2236,1505,5550
Ghost,https://github.com/TryGhost/Ghost,44159,9801,36895,267321
